episode_id,cart_position,pole_angle,cart_velocity,pole_angular_velocity,action,reward,next_cart_position,next_pole_angle,next_cart_velocity,next_pole_angular_velocity,terminated
0,0.1930871037885732,-0.0039028224952419323,0.24967637796530115,0.00654024030211928,-0.2888666,1.0,0.1939832783958755,-0.0015279626922444288,0.022172641909317305,0.13532462271773224,False
0,0.1930871037885732,-0.043331280117071436,0.12628591513852175,0.00654024030211928,-0.015554786,1.0,0.1939832783958755,0.010793272583539062,0.022172641909317305,0.007194993408566965,False
0,0.1930871037885732,-0.05633956126969023,0.022631406660718445,0.00654024030211928,1.0724628,1.0,0.2923509673471832,-0.007603175969272602,0.022172641909317305,0.019048631628618667,False
0,0.1930871037885732,-0.0018017156339562726,0.2439728048601808,-0.2526301435834117,1.8385949,1.0,0.1939832783958755,0.03649977496244245,0.022172641909317305,0.007194993408566965,False
0,0.17147940928000782,-0.010142711932732428,-0.3366660731003851,-0.33331899464207415,-0.4008389,1.0,0.18712842966422139,-0.0015279626922444288,0.11016700775373915,0.007194993408566965,False
0,0.2423841158224535,-0.0018017156339562726,0.022631406660718445,0.8369416399664265,0.24313146,1.0,0.1939832783958755,-0.0015279626922444288,0.25461878477750255,-0.3737434551011332,False
0,0.17970360059400825,0.02531700713397741,0.022631406660718445,0.00654024030211928,0.7481911,1.0,0.1939832783958755,-0.0015279626922444288,0.022172641909317305,0.007194993408566965,False
1,0.1930871037885732,0.018687432171494035,0.21686308007663535,0.00654024030211928,0.69923806,1.0,0.1939832783958755,-0.0015279626922444288,0.022172641909317305,-0.29382018210833255,False
1,0.1930871037885732,-0.0018017156339562726,-0.24261629846492339,0.5569329241147678,-0.71773803,1.0,0.1939832783958755,0.00203714851966448,0.022172641909317305,0.007194993408566965,False
1,0.14525049374773258,-0.02249745007834768,0.6012735963007716,-0.4255172867486788,-0.06082079,1.0,0.295642061027647,-0.0015279626922444288,-0.2536204063763853,-0.9951927228468139,False
1,0.1930871037885732,-0.0018017156339562726,-0.21589327737756261,-0.28636280659717567,-1.810852,1.0,0.0747813958891183,-0.0015279626922444288,0.022172641909317305,0.007194993408566965,False
